DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2015.05.14,57160,57495,56575,57200,138446,342858,5
2015.05.15,57300,57880,56890,57710,115787,286447,5
2015.05.18,57750,58280,56325,56415,134830,349826,5
2015.05.19,56750,56865,55445,55900,126244,316779,5
2015.05.20,55655,56130,55170,55170,149204,362160,5
2015.05.21,55170,55725,54835,55715,118442,291992,5
2015.05.22,55150,55825,54375,54570,142790,355870,5
2015.05.25,54815,55290,54130,54900,87702,223397,5
2015.05.26,54975,54975,53780,53780,136994,338070,5
2015.05.27,54070,54625,53410,54345,128014,311983,5
2015.05.28,54040,54315,53605,54035,121084,297876,5
2015.05.29,54000,54350,52890,52930,147868,391668,5
2015.06.01,53275,53500,52850,53235,122198,305031,5
2015.06.02,53220,54495,53150,54480,129812,331134,5
2015.06.03,54420,54525,53615,53685,121764,310618,5
2015.06.05,53200,53575,52915,53040,111824,281927,5
2015.06.08,52990,53490,52840,52855,97610,243121,5
2015.06.09,52750,53390,52650,53015,111949,308701,5
2015.06.10,53300,54250,53300,54035,124261,324722,5
2015.06.11,53990,54480,53480,53815,121444,316671,5
2015.06.12,53680,53770,53050,53370,103364,270612,5
2015.06.15,53185,53310,52535,53310,103491,270761,5
2015.06.16,53165,54015,53065,53680,109595,294246,5
2015.06.17,54700,54790,53860,53865,114288,300903,5
2015.06.18,54080,55325,54005,55150,131423,368497,5
2015.06.19,54820,54940,54325,54500,112138,294162,5
2015.06.22,54850,55285,54510,54720,102668,266984,5
2015.06.23,54965,55260,54355,54355,96446,264886,5
2015.06.24,54430,55115,54250,54690,107988,290891,5
2015.06.25,54730,54800,53625,54100,115371,317249,5
2015.06.26,54050,54905,53750,54730,116615,323832,5
2015.06.29,53825,54540,53335,53830,130425,338710,5
2015.06.30,54110,54165,53530,53770,115696,295796,5
2015.07.01,54255,54275,53295,53500,116956,305438,5
2015.07.02,53640,54070,53415,53690,92195,232657,5
2015.07.03,53745,53765,52930,53100,57048,157006,5
2015.07.06,52695,53315,52215,52915,120508,338599,5
2015.07.07,52610,53085,51650,53035,143089,386567,5
2015.07.08,52440,52990,52100,52165,148492,379819,5
2015.07.10,53000,53375,52705,53000,102240,252234,5
2015.07.13,53350,53725,53065,53550,110580,284094,5
2015.07.14,53440,53950,53170,53745,94679,258618,5
2015.07.15,53760,53865,53230,53585,107289,288519,5
2015.07.16,53745,53920,53130,53475,101378,270157,5
2015.07.17,53550,53765,52575,52575,115336,321893,5
2015.07.20,52765,52880,51885,51960,101621,282071,5
2015.07.21,52055,52370,51580,51890,123561,351555,5
2015.07.22,51480,51600,50900,51240,95845,258131,5
2015.07.23,51065,51390,49595,49595,146148,400304,5
2015.07.24,49755,50055,48850,49485,148113,407063,5
2015.07.27,49050,49570,48820,49115,149836,405000,5
2015.07.28,49310,50120,48960,49850,187248,526957,5
2015.07.29,49900,50550,49535,50285,160509,430694,5
2015.07.30,50470,50845,49765,50015,142423,370408,5
2015.07.31,50070,51160,49940,51160,139222,383416,5
2015.08.03,50775,50795,50160,50360,118441,319411,5
2015.08.04,50630,50720,49925,50245,110950,298780,5
2015.08.05,50530,50990,50235,50260,113467,306001,5
2015.08.06,50080,50625,49630,50110,140955,377626,5
2015.08.07,49915,50090,48345,48345,140534,387570,5
2015.08.10,48480,49575,48470,49350,132188,354562,5
2015.08.11,48995,50065,48260,49885,141504,382407,5
2015.08.12,50280,50440,48945,49435,156277,415086,5
2015.08.13,49620,49760,48580,48580,143044,372146,5
2015.08.14,48695,49040,48285,48390,113888,296496,5
2015.08.17,48395,48650,48000,48280,116444,297226,5
2015.08.18,47925,48970,47450,48100,176345,469901,5
2015.08.19,48000,48025,46720,47300,173552,471865,5
2015.08.20,47000,47585,46525,47150,161353,413304,5
2015.08.21,46820,46980,46045,46045,156132,403797,5
2015.08.24,44100,45955,43200,45265,282030,750938,5
2015.08.25,46200,46700,44695,44695,206797,532069,5
2015.08.26,45250,46875,45130,46800,245275,611139,5
2015.08.27,46955,48690,46885,48540,243152,614379,5
2015.08.28,48125,48495,47395,47825,214547,542472,5
2015.08.31,47315,47380,46115,46880,207074,531390,5
2015.09.01,46075,46545,45645,46100,216778,559636,5
2015.09.02,46325,47245,45650,47090,190370,498348,5
2015.09.03,47090,48090,46745,47815,203310,537281,5
2015.09.04,47165,47800,46745,46995,174874,440595,5
2015.09.08,47450,47840,47035,47210,134703,344214,5
2015.09.09,47930,48355,46970,47280,164488,419808,5
2015.09.10,45520,47285,45350,47140,200037,503264,5
2015.09.11,46785,47210,46530,46975,135214,341166,5
2015.09.14,46845,48950,46605,48450,158931,407788,5
2015.09.15,48350,48350,47105,47680,154211,399048,5
2015.09.16,47850,49125,47750,48800,157366,420193,5
2015.09.17,48400,49790,48205,49000,199214,499330,5
2015.09.18,48500,48650,47180,47350,162872,433796,5
2015.09.21,47705,47830,46675,47050,148447,377469,5
2015.09.22,46460,46805,45515,46525,167392,434280,5
2015.09.23,46755,46970,45200,45350,184800,483495,5
2015.09.24,44950,45840,44145,45665,211188,528540,5
